"genes";"logFC";"unshrunk.logFC";"logCPM";"PValue";"FDR"
"ST13P4";0,649241321923744;0,683929610239927;-0,835537597386514;0,250943657384737;0,684652566769625
"MPV17L2";0,262173848440314;0,262804658098953;2,64745655364914;0,251004830787076;0,684679707816337
"SNORA56";-0,266695574099753;-0,268585223003008;1,27495090579307;0,251295790122599;0,685333509646737
"LOC643723";-0,438059521655018;-0,454512877464566;-0,664420407004843;0,251657263596796;0,686124637785154
"GPR18";0,263058507229446;0,263321597598496;3,71001596403532;0,251688545493088;0,686124637785154
"POLE2";0,330003237901627;0,330861376274596;2,78474175576927;0,251892084057118;0,68653947706106
"PMS2P1";-0,263106814549559;-0,263397290134374;3,54255793924839;0,25205696731459;0,686848812462143
"KLHL36";-0,26212270913854;-0,26228754535506;4,46803912762301;0,252154353323953;0,68697232702882
"FER";0,263128543874158;0,263990961416546;2,05097059504677;0,252241440574424;0,68697232702882
"CCL4";0,270049537310633;0,270203073585978;4,58548166595402;0,252296958567852;0,68697232702882
"TMTC4";0,305611651678373;0,306971525582356;1,70831516585255;0,252307882192464;0,68697232702882
"ZNF470";-0,265846392922261;-0,26705217306515;1,82553512225141;0,252361801194389;0,686979192416334
"DBT";0,262152263760373;0,262776831051061;2,5869253306435;0,252499648358055;0,687141678712518
"EFHD1";-0,37318711692025;-0,383880961388623;-0,567312149694175;0,252524309878489;0,687141678712518
"MDN1";-0,261891278628544;-0,26215407567646;3,94281533906837;0,252723958428937;0,687544968117479
"ABR";0,285038965487557;0,288369693465947;0,821317980597432;0,252970396843383;0,688075361051824
"CASC3";-0,262021800552157;-0,262038093793716;7,82832546519242;0,253113054519037;0,688323313672727
"RP2";0,264598226309616;0,264643068328267;6,59397269744662;0,253193462452847;0,688351282467931
"AMMECR1L";-0,261592586233756;-0,261874671939669;3,6686561645547;0,253270169361947;0,688351282467931
"SMNDC1";0,261984380151954;0,262053013872548;5,76248417899528;0,25331555596897;0,688351282467931
"LOC399744";-0,284825971401872;-0,28605026227475;1,9366029643109;0,253329340001478;0,688351282467931
"ZNF169";-0,261424921318087;-0,261819727073657;3,22325279709074;0,253451281704879;0,688542648631589
"LOC392196";-0,474393983836863;-0,478859677099367;0,949156136192388;0,253610792111216;0,688835977922884
"UCHL5";0,264812375595274;0,265348816855788;2,71381421458192;0,253764796051378;0,689114234868493
"SIKE1";0,261314015394964;0,261665861568948;3,37245634727316;0,253832348778575;0,689157662761413
"MKS1";-0,260843630820237;-0,261623056289137;2,27998139771861;0,254095458910557;0,689681472900707
"CCR6";-0,263538216232141;-0,264548484731704;2,0337439839271;0,254128479278467;0,689681472900707
"ZNF354C";-0,262048446307866;-0,262790864453594;2,41476149011871;0,254181381261711;0,689685006484779
"XK";-0,341804569051199;-0,342393573490022;3,22207214114463;0,254404702028316;0,690150851899832
"ZNF528";-0,271619198156695;-0,273613430143034;1,00741972723202;0,254477751929767;0,690208935124445
